anum,n_terms,n_d,order,degree,n_id,L_H,n_revisions,n_struct_rev,final_lambda,name
A000027,34,7.0,2.0,0.0,7.0,24.0,1,0,0.0761904761904762,"The positive integers. Also called the natural numbers, the whole numbers or the counting numbers, but these terms are ambiguous."
A000028,34,,,,,,0,0,1.0,"Let k = p_1^e_1 p_2^e_2 p_3^e_3 ... be the prime factorization of n. Sequence gives k such that the sum of the numbers of 1's in the binary expansions of e_1, e_2, e_3, ... is odd."
A000029,34,,,,,,0,0,1.0,"Number of necklaces with n beads of 2 colors, allowing turning over (these are also called bracelets)."
A000030,34,7.0,,,,,2,1,1.0,Initial digit of n.
A000031,34,,,,,,0,0,1.0,Number of n-bead necklaces with 2 colors when turning over is not allowed; also number of output sequences from a simple n-stage cycling shift register; also number of binary irreducible polynomials whose degree divides n.
A000032,34,7.0,2.0,0.0,7.0,24.0,1,0,0.028811524609843937,"Lucas numbers beginning at 2: L(n) = L(n-1) + L(n-2), L(0) = 2, L(1) = 1."
A000033,22,,,,,,0,0,1.0,"a(n) = A058087(n,n-2)."
A000034,34,7.0,2.0,0.0,7.0,22.0,1,0,0.14965986394557823,"Period 2: repeat [1, 2]; a(n) = 1 + (n mod 2)."
A000035,34,7.0,2.0,0.0,7.0,20.0,1,0,0.17699115044247787,"Period 2: repeat [0, 1]; a(n) = n mod 2; parity of n."
A000036,34,,,,,,0,0,1.0,"Let A(n) = #{(i,j): i^2 + j^2 <= n}, V(n) = Pi*n, P(n) = A(n) - V(n); A000099 gives values of n where |P(n)| sets a new record; sequence gives closest integer to P(A000099(n))."
A000037,34,,,,,,0,0,1.0,"Numbers that are not squares (or, the nonsquares)."
A000038,34,6.0,1.0,0.0,5.0,14.0,0,0,0.1728395061728395,Twice A000007.
A000039,34,,,,,,0,0,1.0,Coefficient of q^(2n) in the series expansion of Ramanujan's mock theta function f(q).
A000040,34,,,,,,0,0,1.0,The prime numbers.
A000041,34,,,,,,0,0,1.0,a(n) is the number of partitions of n (the partition numbers).
A000042,20,7.0,2.0,0.0,7.0,36.0,1,0,0.027671022290545733,Unary representation of natural numbers.
A000043,34,,,,,,0,0,1.0,Mersenne exponents: primes p such that 2^p - 1 is prime. Then 2^p - 1 is called a Mersenne prime.
A000044,34,9.0,,,,,2,1,1.0,"Dying rabbits: a(0) = 1; for 1 <= n <= 12, a(n) = Fibonacci(n); for n >= 13, a(n) = a(n-1) + a(n-2) - a(n-13)."
A000045,34,7.0,2.0,0.0,7.0,22.0,1,0,0.028985507246376812,Fibonacci numbers: F(n) = F(n-1) + F(n-2) with F(0) = 0 and F(1) = 1.
A000046,34,,,,,,0,0,1.0,Number of primitive n-bead necklaces (turning over is allowed) where complements are equivalent.
A000047,34,,,,,,0,0,1.0,Number of integers <= 2^n of form x^2 - 2y^2.
A000048,34,,,,,,0,0,1.0,"Number of n-bead necklaces with beads of 2 colors and primitive period n, when turning over is not allowed but the two colors can be interchanged."
A000049,34,,,,,,0,0,1.0,Number of positive integers <= 2^n of the form 3*x^2 + 4*y^2.
A000050,34,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + y^2.
A000051,34,7.0,2.0,0.0,7.0,28.0,1,0,0.023236514522821577,a(n) = 2^n + 1.
A000052,34,,,,,,0,0,1.0,"1-digit numbers arranged in alphabetical order, then the 2-digit numbers arranged in alphabetical order, then the 3-digit numbers, etc."
A000053,29,,,,,,0,0,1.0,Local stops on New York City 1 Train (Broadway-7 Avenue Local) subway.
A000054,25,,,,,,0,0,1.0,Local stops on New York City A line subway.
A000055,34,,,,,,0,0,1.0,Number of trees with n unlabeled nodes.
A000056,34,,,,,,0,0,1.0,"Order of the group SL(2,Z_n)."
A000057,34,,,,,,0,0,1.0,Primes that divide at least one term in every Fibonacci sequence.
A000059,34,,,,,,0,0,1.0,Numbers k such that (2k)^4 + 1 is prime.
A000060,29,,,,,,0,0,1.0,Number of signed trees with n nodes.
A000061,34,,,,,,0,0,1.0,"Generalized tangent numbers d(n,1)."
A000062,34,15.0,,,,,2,1,1.0,A Beatty sequence: a(n) = floor(n/(e-2)).
A000063,34,,,,,,0,0,1.0,Symmetrical dissections of an n-gon.
A000064,34,,,,,,0,0,1.0,"Partial sums of (unordered) ways of making change for n cents using coins of 1, 2, 5, 10 cents."
A000065,34,,,,,,0,0,1.0,-1 + number of partitions of n.
A000067,34,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 2 y^2.
A000068,34,,,,,,0,0,1.0,Numbers k such that k^4 + 1 is prime.
A000069,34,,,,,,0,0,1.0,Odious numbers: numbers with an odd number of 1's in their binary expansion.
A000070,34,,,,,,0,0,1.0,a(n) = Sum_{k=0..n} p(k) where p(k) = number of partitions of k (A000041).
A000071,34,9.0,3.0,0.0,9.0,28.0,1,0,0.03513174404015056,a(n) = Fibonacci(n) - 1.
A000072,34,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 4 y^2.
A000073,34,9.0,3.0,0.0,9.0,30.0,1,0,0.03389830508474576,Tribonacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) for n >= 3 with a(0) = a(1) = 0 and a(2) = 1.
A000074,34,,,,,,0,0,1.0,Number of odd integers <= 2^n of form x^2 + y^2.
A000075,34,,,,,,0,0,1.0,Number of positive integers <= 2^n of form 2*x^2 + 3*y^2.
A000076,34,,,,,,0,0,1.0,Number of integers <= 2^n of form 4 x^2 + 4 x y + 5 y^2.
A000077,34,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 6 y^2.
A000078,34,11.0,4.0,0.0,11.0,36.0,1,0,0.040586245772266064,Tetranacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) + a(n-4) for n >= 4 with a(0) = a(1) = a(2) = 0 and a(3) = 1.
A000079,34,6.0,1.0,0.0,5.0,16.0,0,0,0.013300083125519535,Powers of 2: a(n) = 2^n.
A000080,23,,,,,,0,0,1.0,Number of nonisomorphic minimal triangle graphs.
A000081,32,,,,,,0,0,1.0,Number of unlabeled rooted trees with n nodes (or connected functions with a fixed point).
A000082,34,,,,,,0,0,1.0,a(n) = n^2*Product_{p|n} (1 + 1/p).
A000083,30,,,,,,0,0,1.0,Number of mixed Husimi trees with n nodes; or polygonal cacti with bridges.
A000084,27,,,,,,0,0,1.0,Number of series-parallel networks with n unlabeled edges. Also called yoke-chains by Cayley and MacMahon.
A000085,28,10.0,2.0,1.0,10.0,34.0,1,0,0.02670856245090338,"Number of self-inverse permutations on n letters, also known as involutions; number of standard Young tableaux with n cells."
A000086,34,,,,,,0,0,1.0,Number of solutions to x^2 - x + 1 == 0 (mod n).
A000087,24,,,,,,0,0,1.0,Number of unrooted nonseparable planar maps with n edges and a distinguished face.
A000088,20,,,,,,0,0,1.0,Number of simple graphs on n unlabeled nodes.
A000089,34,,,,,,0,0,1.0,Number of solutions to x^2 + 1 == 0 (mod n).
A000090,23,,,,,,0,0,1.0,Expansion of e.g.f. exp((-x^3)/3)/(1-x).
A000091,34,,,,,,0,0,1.0,"Multiplicative with a(2^e) = 2 for k >= 1; a(3) = 2, a(3^e) = 0 for k >= 2; a(p^e) = 0 if p > 3 and p == -1 (mod 3); a(p^e) = 2 if p > 3 and p == 1 (mod 3)."
A000092,34,,,,,,0,0,1.0,"Let A(n) = #{(i,j,k): i^2 + j^2 + k^2 <= n}, V(n) = (4/3)Pi*n^(3/2), P(n) = A(n) - V(n); sequence gives values of n where |P(n)| sets a new record."
A000093,34,,,,,,0,0,1.0,a(n) = floor(n^(3/2)).
A000094,34,,,,,,0,0,1.0,Number of trees of diameter 4.
A000095,34,,,,,,0,0,1.0,Number of fixed points of Gamma_0 (n) of type i.
A000096,34,9.0,3.0,0.0,9.0,38.0,1,0,0.07615230460921844,a(n) = n*(n+3)/2.
A000097,34,,,,,,0,0,1.0,Number of partitions of n if there are two kinds of 1's and two kinds of 2's.
A000098,34,,,,,,0,0,1.0,"Number of partitions of n if there are two kinds of 1, two kinds of 2 and two kinds of 3."
A000099,34,,,,,,0,0,1.0,"Let A(n) = #{(i,j): i^2 + j^2 <= n}, V(n) = Pi*n, P(n) = A(n) - V(n); sequence gives values of n where |P(n)| sets a new record."
A000100,34,13.0,5.0,0.0,13.0,44.0,1,0,0.04559585492227979,a(n) is the number of compositions of n in which the maximal part is 3.
A000101,31,,,,,,0,0,1.0,"Record gaps between primes (upper end) (compare A002386, which gives lower ends of these gaps)."
A000102,34,,,,,,0,0,1.0,a(n) = number of compositions of n in which the maximum part size is 4.
A000103,24,,,,,,0,0,1.0,Number of n-node triangulations of sphere in which every node has degree >= 4.
A000104,29,,,,,,0,0,1.0,Number of n-celled free polyominoes without holes.
A000105,29,,,,,,0,0,1.0,Number of free polyominoes (or square animals) with n cells.
A000106,31,,,,,,0,0,1.0,2nd power of rooted tree enumerator; number of linear forests of 2 rooted trees.
A000107,31,,,,,,0,0,1.0,Number of rooted trees with n nodes and a single labeled node; pointed rooted trees; vertebrates.
A000108,31,7.0,1.0,1.0,7.0,28.0,1,0,0.018360655737704918,"Catalan numbers: C(n) = binomial(2n,n)/(n+1) = (2n)!/(n!(n+1)!)."
A000109,22,,,,,,0,0,1.0,Number of simplicial polyhedra with n vertices; simple planar graphs with n vertices and 3n-6 edges; maximal simple planar graphs with n vertices; planar triangulations with n vertices; triangulations of the sphere with n vertices; 3-connected cubic planar graphs on 2n-4 vertices.
A000110,27,,,,,,0,0,1.0,Bell or exponential numbers: number of ways to partition a set of n labeled elements.
A000111,27,,,,,,0,0,1.0,"Euler or up/down numbers: e.g.f. sec(x) + tan(x). Also for n >= 2, half the number of alternating permutations on n letters (A001250)."
A000113,34,,,,,,0,0,1.0,Number of transformation groups of order n.
A000114,34,,,,,,0,0,1.0,Number of cusps of principal congruence subgroup Gamma^{hat}(n).
A000115,34,22.0,6.0,1.0,22.0,104.0,1,0,0.3161094224924012,Denumerants: Expansion of 1/((1-x)*(1-x^2)*(1-x^5)).
A000116,28,,,,,,0,0,1.0,Number of even sequences with period 2n (bisection of A000013).
A000117,28,,,,,,0,0,1.0,Number of even sequences with period 2n (bisection of A000011).
A000118,34,,,,,,0,0,1.0,Number of ways of writing n as a sum of 4 squares; also theta series of four-dimensional cubic lattice Z^4.
A000119,34,,,,,,0,0,1.0,Number of representations of n as a sum of distinct Fibonacci numbers.
A000120,34,,,,,,0,0,1.0,Ones-counting sequence: number of 1's in binary expansion of n (or the binary weight of n).
A000121,34,,,,,,0,0,1.0,Number of representations of n as a sum of Fibonacci numbers (1 is allowed twice as a part).
A000122,34,,,,,,0,0,1.0,Expansion of Jacobi theta function theta_3(x) = Sum_{m =-oo..oo} x^(m^2) (number of integer solutions to k^2 = n).
A000123,34,,,,,,0,0,1.0,Number of binary partitions: number of partitions of 2n into powers of 2.
A000124,34,9.0,2.0,1.0,10.0,36.0,2,1,0.07331975560081466,"Central polygonal numbers (the Lazy Caterer's sequence): n(n+1)/2 + 1; or, maximal number of pieces formed when slicing a pancake with n cuts."
A000125,34,11.0,3.0,1.0,13.0,52.0,2,1,0.08188976377952756,"Cake numbers: maximal number of pieces resulting from n planar cuts through a cube (or cake): C(n+1,3) + n + 1."
A000126,34,11.0,4.0,0.0,11.0,50.0,1,0,0.05382131324004306,A nonlinear binomial sum.
A000127,34,13.0,4.0,1.0,16.0,72.0,2,1,0.0963855421686747,Maximal number of regions obtained by joining n points around a circle by straight lines. Also number of regions in 4-space formed by n-1 hyperplanes.
A000128,34,13.0,5.0,0.0,13.0,66.0,1,0,0.06839378238341969,A nonlinear binomial sum.
A000129,32,7.0,2.0,0.0,7.0,22.0,1,0,0.018077239112571898,"Pell numbers: a(0) = 0, a(1) = 1; for n > 1, a(n) = 2*a(n-1) + a(n-2)."
A000130,24,21.0,6.0,1.0,22.0,92.0,2,1,0.0666183924692252,One-half the number of permutations of length n with exactly 1 rising or falling succession.
A000131,28,,,,,,0,0,1.0,Number of asymmetrical dissections of n-gon.
A000132,34,,,,,,0,0,1.0,Number of ways of writing n as a sum of 5 squares.
A000134,34,9.0,,,,,2,1,1.0,Positive zeros of Bessel function of order 0 rounded to nearest integer.
A000135,34,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000136,29,,,,,,0,0,1.0,Number of ways of folding a strip of n labeled stamps.
A000137,26,,,,,,0,0,1.0,Series-parallel numbers.
A000138,23,,,,,,0,0,1.0,Expansion of e.g.f. exp(-x^4/4)/(1-x).
A000139,26,9.0,1.0,2.0,9.0,58.0,1,0,0.04312267657992565,a(n) = 2*(3*n)! / ((2*n+1)!*(n+1)!).
A000140,23,,,,,,0,0,1.0,Kendall-Mann numbers: the most common number of inversions in a permutation on n letters is floor(n*(n-1)/4); a(n) is the number of permutations with this many inversions.
A000141,34,,,,,,0,0,1.0,Number of ways of writing n as a sum of 6 squares.
A000142,23,7.0,1.0,1.0,7.0,24.0,1,0,0.017817371937639197,"Factorial numbers: n! = 1*2*3*4*...*n (order of symmetric group S_n, number of permutations of n letters)."
A000143,34,,,,,,0,0,1.0,Number of ways of writing n as a sum of 8 squares.
A000144,30,,,,,,0,0,1.0,Number of ways of writing n as a sum of 10 squares.
A000145,31,,,,,,0,0,1.0,Number of ways of writing n as a sum of 12 squares.
A000146,24,6.0,,,,,1,1,1.0,From von Staudt-Clausen representation of Bernoulli numbers: a(n) = Bernoulli(2n) + Sum_{(p-1)|2n} 1/p.
A000147,34,,,,,,0,0,1.0,Number of trees of diameter 5.
A000148,34,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000149,29,,,,,,0,0,1.0,a(n) = floor(e^n).
A000150,27,25.0,3.0,4.0,25.0,214.0,1,0,0.19796484736355227,"Number of dissections of an n-gon, rooted at an exterior edge, asymmetric with respect to that edge."
A000151,30,,,,,,0,0,1.0,Number of oriented rooted trees with n nodes. Also rooted trees with n nodes and 2-colored non-root nodes.
A000152,24,,,,,,0,0,1.0,Number of ways of writing n as a sum of 16 squares.
A000153,21,10.0,2.0,1.0,10.0,32.0,1,0,0.028444444444444446,"a(n) = n*a(n-1) + (n-2)*a(n-2), with a(0) = 0, a(1) = 1."
A000155,22,16.0,4.0,1.0,16.0,60.0,1,0,0.04013377926421405,Nearest integer to modified Bessel function K_n(1).
A000156,21,,,,,,0,0,1.0,Number of ways of writing n as a sum of 24 squares.
A000158,34,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000159,21,,,,,,0,0,1.0,"a(n) = A058087(n,n-3)."
A000160,34,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000161,34,,,,,,0,0,1.0,Number of partitions of n into 2 squares.
A000162,22,,,,,,0,0,1.0,Number of 3-dimensional polyominoes (or polycubes) with n cells.
A000163,24,,,,,,0,0,1.0,Series-parallel numbers.
A000164,34,6.0,,,,,1,1,1.0,Number of partitions of n into 3 squares (allowing part zero).
A000165,20,7.0,1.0,1.0,7.0,24.0,1,0,0.01805869074492099,Double factorial of even numbers: (2n)!! = 2^n*n!.
A000166,24,10.0,2.0,1.0,10.0,34.0,1,0,0.023660403618649965,"Subfactorial or rencontres numbers, or derangements: number of permutations of n elements with no fixed points."
A000167,22,,,,,,0,0,1.0,Nearest integer to modified Bessel function K_n(2).
A000168,24,7.0,1.0,1.0,7.0,34.0,1,0,0.020923076923076923,a(n) = 2*3^n*(2*n)!/(n!*(n+2)!).
A000169,20,,,,,,0,0,1.0,Number of labeled rooted trees with n nodes: n^(n-1).
A000170,28,,,,,,0,0,1.0,Number of ways of placing n nonattacking queens on an n X n board.
A000171,31,,,,,,0,0,1.0,Number of self-complementary graphs with n nodes.
A000172,23,13.0,2.0,2.0,13.0,84.0,1,0,0.06226834692364715,"The Franel number a(n) = Sum_{k = 0..n} binomial(n,k)^3."
A000173,24,,,,,,0,0,1.0,Unitary-sociable numbers (smallest member of each cycle).
A000174,34,,,,,,0,0,1.0,Number of partitions of n into 5 squares.
A000176,34,,,,,,0,0,1.0,"Generalized tangent numbers d_(n,2)."
A000177,34,,,,,,0,0,1.0,Number of partitions of n into 6 squares.
A000179,26,19.0,5.0,1.0,19.0,66.0,1,0,0.03907637655417407,"M̩nage numbers: a(0) = 1, a(1) = -1, and for n >= 2, a(n) = number of permutations s of [0, ..., n-1] such that s(i) != i and s(i) != i+1 (mod n) for all i."
A000181,20,,,,,,0,0,1.0,"a(n) = A058087(n,n-4)."
A000183,23,,,,,,0,0,1.0,Number of discordant permutations of length n.
A000184,30,13.0,2.0,2.0,13.0,108.0,1,0,0.0496551724137931,Number of genus 0 rooted maps with 3 faces with n vertices.
A000188,34,,,,,,0,0,1.0,"(1) Number of solutions to x^2 == 0 (mod n). (2) Also square root of largest square dividing n. (3) Also max_{ d divides n } gcd(d, n/d)."
A000189,34,,,,,,0,0,1.0,Number of solutions to x^3 == 0 (mod n).
A000190,34,,,,,,0,0,1.0,Number of solutions to x^4 == 0 (mod n).
A000193,34,,,,,,0,0,1.0,Nearest integer to log n.
A000194,34,,,,,,0,0,1.0,"n appears 2n times, for n >= 1; also nearest integer to square root of n."
A000195,34,,,,,,0,0,1.0,a(n) = floor(log(n)).
A000196,34,,,,,,0,0,1.0,"Integer part of square root of n. Or, number of positive squares <= n. Or, n appears 2n+1 times."
A000198,34,,,,,,0,0,1.0,Largest order of automorphism group of a tournament with n nodes.
A000199,34,,,,,,0,0,1.0,Coefficient of q^(2n-1) in the series expansion of Ramanujan's mock theta function f(q).
A000200,34,,,,,,0,0,1.0,Number of bicentered hydrocarbons with n atoms.
A000201,34,,,,,,0,0,1.0,"Lower Wythoff sequence (a Beatty sequence): a(n) = floor(n*phi), where phi = (1+sqrt(5))/2 = A001622."
A000202,34,,,,,,0,0,1.0,"a(8i+j) = 13i + a(j), where 1<=j<=8."
A000203,34,,,,,,0,0,1.0,"a(n) = sigma(n), the sum of the divisors of n. Also called sigma_1(n)."
A000204,34,7.0,2.0,0.0,7.0,26.0,1,0,0.029646522234891677,"Lucas numbers (beginning with 1): L(n) = L(n-1) + L(n-2) with L(1) = 1, L(2) = 3."
A000205,34,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 3 y^2.
A000206,29,,,,,,0,0,1.0,Even sequences with period 2n.
A000207,31,,,,,,0,0,1.0,Number of inequivalent ways of dissecting a regular (n+2)-gon into n triangles by n-1 non-intersecting diagonals under rotations and reflections; also the number of (unlabeled) maximal outerplanar graphs on n+2 vertices.
A000208,26,,,,,,0,0,1.0,Number of even sequences with period 2n.
A000209,34,,,,,,0,0,1.0,Nearest integer to tan n.
A000210,34,,,,,,0,0,1.0,A Beatty sequence: floor(n*(e-1)).
A000211,34,9.0,3.0,0.0,9.0,38.0,1,0,0.04529201430274136,"a(n) = a(n-1) + a(n-2) - 2, a(0) = 4, a(1) = 3."
A000212,34,13.0,5.0,0.0,13.0,50.0,1,0,0.11235955056179775,a(n) = floor(n^2/3).
A000213,34,9.0,3.0,0.0,9.0,34.0,1,0,0.035233160621761656,Tribonacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) with a(0)=a(1)=a(2)=1.
A000216,34,,,,,,0,0,1.0,"Take sum of squares of digits of previous term, starting with 2."
A000217,34,9.0,2.0,1.0,10.0,36.0,2,1,0.07392197125256673,"Triangular numbers: a(n) = binomial(n+1,2) = n*(n+1)/2 = 0 + 1 + 2 + ... + n."
A000218,34,,,,,,0,0,1.0,Take sum of squares of digits of previous term; start with 3.
A000219,34,,,,,,0,0,1.0,Number of plane partitions (or planar partitions) of n.
A000220,34,6.0,,,,,1,1,1.0,Number of asymmetric trees with n nodes (also called identity trees).
A000221,34,,,,,,0,0,1.0,Take sum of squares of digits of previous term; start with 5.
A000222,22,22.0,6.0,1.0,22.0,120.0,1,0,0.10572687224669604,"a(n) = A058057(n,n-2)."
A000223,34,,,,,,0,0,1.0,"Let A(n) = #{(i,j,k): i^2 + j^2 + k^2 <= n}, V(n) = (4/3)Pi*n^(3/2), P(n) = A(n) - V(n); A000092 gives values of n where |P(n)| sets a new record; sequence gives nearest integer to P(A000092(n))."
A000224,34,,,,,,0,0,1.0,Number of squares mod n.
A000225,34,7.0,2.0,0.0,7.0,24.0,1,0,0.019983347210657785,"a(n) = 2^n - 1. (Sometimes called Mersenne numbers, although that name is usually reserved for A001348.)"
A000226,30,,,,,,0,0,1.0,Number of n-node unlabeled connected graphs with one cycle of length 3.
A000227,31,,,,,,0,0,1.0,Nearest integer to e^n.
A000228,30,,,,,,0,0,1.0,"Number of hexagonal polyominoes (or hexagonal polyforms, or planar polyhexes) with n cells."
A000229,30,,,,,,0,0,1.0,a(n) is the least number m such that the n-th prime is the least quadratic nonresidue modulo m.
A000230,34,,,,,,0,0,1.0,"a(0)=2; for n>=1, a(n) = smallest prime p such that there is a gap of exactly 2n between p and next prime, or -1 if no such prime exists."
A000232,34,,,,,,0,0,1.0,Construct a triangle as in A036262. Sequence is one less than the position of the first number larger than 2 in the n-th row (n-th difference).
A000233,34,,,,,,0,0,1.0,"Generalized class numbers c_(n,1)."
A000234,34,,,,,,0,0,1.0,Partitions into non-integral powers (see Comments for precise definition).
A000235,34,,,,,,0,0,1.0,Number of n-node rooted trees of height 3.
A000236,20,,,,,,0,0,1.0,"Maximum m such that there are no two adjacent elements belonging to the same n-th power residue class modulo some prime p in the sequence 1,2,...,m (equivalently, there is no n-th power residue modulo p in the sequence 1/2,2/3,...,(m-1)/m)."
A000237,26,,,,,,0,0,1.0,Number of mixed Husimi trees with n nodes; or rooted polygonal cacti with bridges.
A000238,26,,,,,,0,0,1.0,Number of oriented trees with n nodes.
A000239,24,,,,,,0,0,1.0,One-half of number of permutations of [n] with exactly one run of adjacent symbols differing by 1.
A000240,22,13.0,3.0,1.0,13.0,52.0,1,0,0.04040404040404041,Rencontres numbers: number of permutations of [n] with exactly one fixed point.
A000242,27,,,,,,0,0,1.0,3rd power of rooted tree enumerator; number of linear forests of 3 rooted trees.
A000243,26,,,,,,0,0,1.0,"Number of trees with n nodes, 2 of which are labeled."
A000244,28,6.0,1.0,0.0,5.0,18.0,0,0,0.014504431909750202,Powers of 3: a(n) = 3^n.
A000245,28,10.0,2.0,1.0,10.0,46.0,1,0,0.035742035742035744,a(n) = 3*(2*n)!/((n+2)!*(n-1)!).
A000246,23,13.0,2.0,2.0,13.0,40.0,1,0,0.03162055335968379,Number of permutations in the symmetric group S_n that have odd order.
A000247,30,9.0,3.0,0.0,9.0,42.0,1,0,0.04212637913741224,a(n) = 2^n - n - 2.
A000248,23,,,,,,0,0,1.0,Expansion of e.g.f. exp(x*exp(x)).
A000249,30,6.0,,,,,1,1,1.0,Nearest integer to modified Bessel function K_n(5).
A000251,34,,,,,,0,0,1.0,Number of trees of diameter 6.
A000252,34,,,,,,0,0,1.0,Number of invertible 2 X 2 matrices mod n.
A000253,32,11.0,4.0,0.0,11.0,52.0,1,0,0.0463871543264942,a(n) = 2*a(n-1) - a(n-2) + a(n-3) + 2^(n-1).
A000254,22,13.0,2.0,2.0,13.0,44.0,1,0,0.034782608695652174,"Unsigned Stirling numbers of first kind, s(n+1,2): a(n+1) = (n+1)*a(n) + n!."
A000255,22,10.0,2.0,1.0,10.0,36.0,1,0,0.027799227799227798,"a(n) = n*a(n-1) + (n-1)*a(n-2), a(0) = 1, a(1) = 1."
A000256,25,17.0,3.0,2.0,17.0,156.0,1,0,0.14194722474977253,Number of simple triangulations of the plane with n nodes.
A000257,24,10.0,2.0,1.0,10.0,44.0,1,0,0.03418803418803419,"Number of rooted bicubic maps: a(n) = (8*n-4)*a(n-1)/(n+2) for n >= 2, a(0) = a(1) = 1."
A000258,22,,,,,,0,0,1.0,Expansion of e.g.f. exp(exp(exp(x)-1)-1).
A000259,24,,,,,,0,0,1.0,Number of certain rooted planar maps.
A000260,22,11.0,1.0,3.0,11.0,138.0,1,0,0.12115891132572432,Number of rooted simplicial 3-polytopes with n+3 nodes; or rooted 3-connected triangulations with 2n+2 faces; or rooted 3-connected trivalent maps with 2n+2 vertices.
A000261,22,10.0,2.0,1.0,10.0,34.0,1,0,0.02539208364451083,"a(n) = n*a(n-1) + (n-3)*a(n-2), with a(1) = 0, a(2) = 1."
A000262,22,13.0,2.0,2.0,13.0,44.0,1,0,0.03190717911530094,"Number of ""sets of lists"": number of partitions of {1,...,n} into any number of lists, where a list means an ordered subset."
A000263,34,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000264,21,,,,,,0,0,1.0,Number of 3-edge-connected rooted cubic maps with 2n nodes and a distinguished Hamiltonian cycle.
A000265,34,,,,,,0,0,1.0,Remove all factors of 2 from n; or largest odd divisor of n; or odd part of n.
A000266,23,17.0,3.0,2.0,17.0,64.0,1,0,0.04844814534443603,Expansion of e.g.f. exp(-x^2/2) / (1-x).
A000267,34,,,,,,0,0,1.0,Integer part of square root of 4n+1.
A000268,20,,,,,,0,0,1.0,E.g.f.: -log(1+log(1+log(1-x))).
A000269,24,,,,,,0,0,1.0,"Number of trees with n nodes, 3 of which are labeled."
A000270,23,21.0,4.0,2.0,21.0,84.0,1,0,0.06109090909090909,"For n >= 2, a(n) = b(n+1)+b(n)+b(n-1), where the b(i) are the m̩nage numbers A000179; a(0)=a(1)=1."
