anum,n_terms,n_d,order,degree,n_id,L_H,n_revisions,n_struct_rev,final_lambda,name
A000036,30,,,,,,0,0,1.0,"Let A(n) = #{(i,j): i^2 + j^2 <= n}, V(n) = Pi*n, P(n) = A(n) - V(n); A000099 gives values of n where |P(n)| sets a new record; sequence gives closest integer to P(A000099(n))."
A000037,30,,,,,,0,0,1.0,"Numbers that are not squares (or, the nonsquares)."
A000038,30,6.0,1.0,0.0,5.0,14.0,0,0,0.19718309859154928,Twice A000007.
A000039,30,,,,,,0,0,1.0,Coefficient of q^(2n) in the series expansion of Ramanujan's mock theta function f(q).
A000040,30,,,,,,0,0,1.0,The prime numbers.
A000041,30,,,,,,0,0,1.0,a(n) is the number of partitions of n (the partition numbers).
A000043,30,,,,,,0,0,1.0,Mersenne exponents: primes p such that 2^p - 1 is prime. Then 2^p - 1 is called a Mersenne prime.
A000044,30,9.0,,,,,2,1,1.0,"Dying rabbits: a(0) = 1; for 1 <= n <= 12, a(n) = Fibonacci(n); for n >= 13, a(n) = a(n-1) + a(n-2) - a(n-13)."
A000045,30,7.0,2.0,0.0,7.0,22.0,1,0,0.03747870528109029,Fibonacci numbers: F(n) = F(n-1) + F(n-2) with F(0) = 0 and F(1) = 1.
A000046,30,,,,,,0,0,1.0,Number of primitive n-bead necklaces (turning over is allowed) where complements are equivalent.
A000047,30,,,,,,0,0,1.0,Number of integers <= 2^n of form x^2 - 2y^2.
A000048,30,,,,,,0,0,1.0,"Number of n-bead necklaces with beads of 2 colors and primitive period n, when turning over is not allowed but the two colors can be interchanged."
A000049,30,,,,,,0,0,1.0,Number of positive integers <= 2^n of the form 3*x^2 + 4*y^2.
A000050,30,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + y^2.
A000051,30,7.0,2.0,0.0,7.0,28.0,1,0,0.029692470837751856,a(n) = 2^n + 1.
A000052,30,,,,,,0,0,1.0,"1-digit numbers arranged in alphabetical order, then the 2-digit numbers arranged in alphabetical order, then the 3-digit numbers, etc."
A000055,30,,,,,,0,0,1.0,Number of trees with n unlabeled nodes.
A000056,30,,,,,,0,0,1.0,"Order of the group SL(2,Z_n)."
A000057,30,,,,,,0,0,1.0,Primes that divide at least one term in every Fibonacci sequence.
A000059,30,,,,,,0,0,1.0,Numbers k such that (2k)^4 + 1 is prime.
A000061,30,,,,,,0,0,1.0,"Generalized tangent numbers d(n,1)."
A000062,30,15.0,,,,,2,1,1.0,A Beatty sequence: a(n) = floor(n/(e-2)).
A000063,30,,,,,,0,0,1.0,Symmetrical dissections of an n-gon.
A000064,30,,,,,,0,0,1.0,"Partial sums of (unordered) ways of making change for n cents using coins of 1, 2, 5, 10 cents."
A000065,30,,,,,,0,0,1.0,-1 + number of partitions of n.
A000067,30,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 2 y^2.
A000068,30,,,,,,0,0,1.0,Numbers k such that k^4 + 1 is prime.
A000069,30,,,,,,0,0,1.0,Odious numbers: numbers with an odd number of 1's in their binary expansion.
A000070,30,,,,,,0,0,1.0,a(n) = Sum_{k=0..n} p(k) where p(k) = number of partitions of k (A000041).
A000071,30,9.0,3.0,0.0,9.0,28.0,1,0,0.045234248788368334,a(n) = Fibonacci(n) - 1.
A000072,30,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 4 y^2.
A000073,30,9.0,3.0,0.0,9.0,30.0,1,0,0.044182621502209134,Tribonacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) for n >= 3 with a(0) = a(1) = 0 and a(2) = 1.
A000074,30,,,,,,0,0,1.0,Number of odd integers <= 2^n of form x^2 + y^2.
A000075,30,,,,,,0,0,1.0,Number of positive integers <= 2^n of form 2*x^2 + 3*y^2.
A000076,30,,,,,,0,0,1.0,Number of integers <= 2^n of form 4 x^2 + 4 x y + 5 y^2.
A000077,30,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 6 y^2.
A000078,30,11.0,4.0,0.0,11.0,36.0,1,0,0.05349182763744428,Tetranacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) + a(n-4) for n >= 4 with a(0) = a(1) = a(2) = 0 and a(3) = 1.
A000079,30,6.0,1.0,0.0,5.0,16.0,0,0,0.01700318809776833,Powers of 2: a(n) = 2^n.
A000081,30,,,,,,0,0,1.0,Number of unlabeled rooted trees with n nodes (or connected functions with a fixed point).
A000082,30,,,,,,0,0,1.0,a(n) = n^2*Product_{p|n} (1 + 1/p).
A000083,30,,,,,,0,0,1.0,Number of mixed Husimi trees with n nodes; or polygonal cacti with bridges.
A000086,30,,,,,,0,0,1.0,Number of solutions to x^2 - x + 1 == 0 (mod n).
A000089,30,,,,,,0,0,1.0,Number of solutions to x^2 + 1 == 0 (mod n).
A000091,30,,,,,,0,0,1.0,"Multiplicative with a(2^e) = 2 for k >= 1; a(3) = 2, a(3^e) = 0 for k >= 2; a(p^e) = 0 if p > 3 and p == -1 (mod 3); a(p^e) = 2 if p > 3 and p == 1 (mod 3)."
A000092,30,,,,,,0,0,1.0,"Let A(n) = #{(i,j,k): i^2 + j^2 + k^2 <= n}, V(n) = (4/3)Pi*n^(3/2), P(n) = A(n) - V(n); sequence gives values of n where |P(n)| sets a new record."
A000093,30,,,,,,0,0,1.0,a(n) = floor(n^(3/2)).
A000094,30,,,,,,0,0,1.0,Number of trees of diameter 4.
A000095,30,,,,,,0,0,1.0,Number of fixed points of Gamma_0 (n) of type i.
A000096,30,9.0,3.0,0.0,9.0,38.0,1,0,0.09069212410501193,a(n) = n*(n+3)/2.
A000097,30,,,,,,0,0,1.0,Number of partitions of n if there are two kinds of 1's and two kinds of 2's.
A000098,30,,,,,,0,0,1.0,"Number of partitions of n if there are two kinds of 1, two kinds of 2 and two kinds of 3."
A000099,30,,,,,,0,0,1.0,"Let A(n) = #{(i,j): i^2 + j^2 <= n}, V(n) = Pi*n, P(n) = A(n) - V(n); sequence gives values of n where |P(n)| sets a new record."
A000100,30,13.0,5.0,0.0,13.0,44.0,1,0,0.059219380888290714,a(n) is the number of compositions of n in which the maximal part is 3.
A000101,30,,,,,,0,0,1.0,"Record gaps between primes (upper end) (compare A002386, which gives lower ends of these gaps)."
A000102,30,,,,,,0,0,1.0,a(n) = number of compositions of n in which the maximum part size is 4.
A000106,30,,,,,,0,0,1.0,2nd power of rooted tree enumerator; number of linear forests of 2 rooted trees.
A000107,30,,,,,,0,0,1.0,Number of rooted trees with n nodes and a single labeled node; pointed rooted trees; vertebrates.
A000108,30,7.0,1.0,1.0,7.0,28.0,1,0,0.019732205778717406,"Catalan numbers: C(n) = binomial(2n,n)/(n+1) = (2n)!/(n!(n+1)!)."
A000113,30,,,,,,0,0,1.0,Number of transformation groups of order n.
A000114,30,,,,,,0,0,1.0,Number of cusps of principal congruence subgroup Gamma^{hat}(n).
A000115,30,22.0,6.0,1.0,22.0,104.0,1,0,0.3781818181818182,Denumerants: Expansion of 1/((1-x)*(1-x^2)*(1-x^5)).
A000118,30,,,,,,0,0,1.0,Number of ways of writing n as a sum of 4 squares; also theta series of four-dimensional cubic lattice Z^4.
A000119,30,,,,,,0,0,1.0,Number of representations of n as a sum of distinct Fibonacci numbers.
A000120,30,,,,,,0,0,1.0,Ones-counting sequence: number of 1's in binary expansion of n (or the binary weight of n).
A000121,30,,,,,,0,0,1.0,Number of representations of n as a sum of Fibonacci numbers (1 is allowed twice as a part).
A000122,30,,,,,,0,0,1.0,Expansion of Jacobi theta function theta_3(x) = Sum_{m =-oo..oo} x^(m^2) (number of integer solutions to k^2 = n).
A000123,30,,,,,,0,0,1.0,Number of binary partitions: number of partitions of 2n into powers of 2.
A000124,30,9.0,2.0,1.0,10.0,36.0,2,1,0.08716707021791767,"Central polygonal numbers (the Lazy Caterer's sequence): n(n+1)/2 + 1; or, maximal number of pieces formed when slicing a pancake with n cuts."
A000125,30,11.0,3.0,1.0,13.0,52.0,2,1,0.09829867674858223,"Cake numbers: maximal number of pieces resulting from n planar cuts through a cube (or cake): C(n+1,3) + n + 1."
A000126,30,11.0,4.0,0.0,11.0,50.0,1,0,0.06802721088435375,A nonlinear binomial sum.
A000127,30,13.0,4.0,1.0,16.0,72.0,2,1,0.11631663974151858,Maximal number of regions obtained by joining n points around a circle by straight lines. Also number of regions in 4-space formed by n-1 hyperplanes.
A000128,30,13.0,5.0,0.0,13.0,66.0,1,0,0.08627450980392157,A nonlinear binomial sum.
A000129,30,7.0,2.0,0.0,7.0,22.0,1,0,0.020657276995305163,"Pell numbers: a(0) = 0, a(1) = 1; for n > 1, a(n) = 2*a(n-1) + a(n-2)."
A000132,30,,,,,,0,0,1.0,Number of ways of writing n as a sum of 5 squares.
A000134,30,9.0,,,,,2,1,1.0,Positive zeros of Bessel function of order 0 rounded to nearest integer.
A000135,30,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000141,30,,,,,,0,0,1.0,Number of ways of writing n as a sum of 6 squares.
A000143,30,,,,,,0,0,1.0,Number of ways of writing n as a sum of 8 squares.
A000144,30,,,,,,0,0,1.0,Number of ways of writing n as a sum of 10 squares.
A000145,30,,,,,,0,0,1.0,Number of ways of writing n as a sum of 12 squares.
A000147,30,,,,,,0,0,1.0,Number of trees of diameter 5.
A000148,30,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000151,30,,,,,,0,0,1.0,Number of oriented rooted trees with n nodes. Also rooted trees with n nodes and 2-colored non-root nodes.
A000158,30,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000160,30,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000161,30,,,,,,0,0,1.0,Number of partitions of n into 2 squares.
A000164,30,6.0,,,,,1,1,1.0,Number of partitions of n into 3 squares (allowing part zero).
A000171,30,,,,,,0,0,1.0,Number of self-complementary graphs with n nodes.
A000174,30,,,,,,0,0,1.0,Number of partitions of n into 5 squares.
A000176,30,,,,,,0,0,1.0,"Generalized tangent numbers d_(n,2)."
A000177,30,,,,,,0,0,1.0,Number of partitions of n into 6 squares.
A000184,30,13.0,2.0,2.0,13.0,108.0,1,0,0.0496551724137931,Number of genus 0 rooted maps with 3 faces with n vertices.
A000188,30,,,,,,0,0,1.0,"(1) Number of solutions to x^2 == 0 (mod n). (2) Also square root of largest square dividing n. (3) Also max_{ d divides n } gcd(d, n/d)."
A000189,30,,,,,,0,0,1.0,Number of solutions to x^3 == 0 (mod n).
A000190,30,,,,,,0,0,1.0,Number of solutions to x^4 == 0 (mod n).
A000193,30,,,,,,0,0,1.0,Nearest integer to log n.
A000194,30,,,,,,0,0,1.0,"n appears 2n times, for n >= 1; also nearest integer to square root of n."
A000195,30,,,,,,0,0,1.0,a(n) = floor(log(n)).
A000196,30,,,,,,0,0,1.0,"Integer part of square root of n. Or, number of positive squares <= n. Or, n appears 2n+1 times."
A000198,30,,,,,,0,0,1.0,Largest order of automorphism group of a tournament with n nodes.
A000199,30,,,,,,0,0,1.0,Coefficient of q^(2n-1) in the series expansion of Ramanujan's mock theta function f(q).
A000200,30,,,,,,0,0,1.0,Number of bicentered hydrocarbons with n atoms.
A000201,30,,,,,,0,0,1.0,"Lower Wythoff sequence (a Beatty sequence): a(n) = floor(n*phi), where phi = (1+sqrt(5))/2 = A001622."
A000202,30,,,,,,0,0,1.0,"a(8i+j) = 13i + a(j), where 1<=j<=8."
A000203,30,,,,,,0,0,1.0,"a(n) = sigma(n), the sum of the divisors of n. Also called sigma_1(n)."
A000204,30,7.0,2.0,0.0,7.0,26.0,1,0,0.03762662807525326,"Lucas numbers (beginning with 1): L(n) = L(n-1) + L(n-2) with L(1) = 1, L(2) = 3."
A000205,30,,,,,,0,0,1.0,Number of positive integers <= 2^n of form x^2 + 3 y^2.
A000207,30,,,,,,0,0,1.0,Number of inequivalent ways of dissecting a regular (n+2)-gon into n triangles by n-1 non-intersecting diagonals under rotations and reflections; also the number of (unlabeled) maximal outerplanar graphs on n+2 vertices.
A000209,30,,,,,,0,0,1.0,Nearest integer to tan n.
A000210,30,,,,,,0,0,1.0,A Beatty sequence: floor(n*(e-1)).
A000211,30,9.0,3.0,0.0,9.0,38.0,1,0,0.057663125948406675,"a(n) = a(n-1) + a(n-2) - 2, a(0) = 4, a(1) = 3."
A000212,30,13.0,5.0,0.0,13.0,50.0,1,0,0.1347708894878706,a(n) = floor(n^2/3).
A000213,30,9.0,3.0,0.0,9.0,34.0,1,0,0.04551539491298527,Tribonacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) with a(0)=a(1)=a(2)=1.
A000216,30,,,,,,0,0,1.0,"Take sum of squares of digits of previous term, starting with 2."
A000217,30,9.0,2.0,1.0,10.0,36.0,2,1,0.08801955990220049,"Triangular numbers: a(n) = binomial(n+1,2) = n*(n+1)/2 = 0 + 1 + 2 + ... + n."
A000218,30,,,,,,0,0,1.0,Take sum of squares of digits of previous term; start with 3.
A000219,30,,,,,,0,0,1.0,Number of plane partitions (or planar partitions) of n.
A000220,30,6.0,,,,,1,1,1.0,Number of asymmetric trees with n nodes (also called identity trees).
A000221,30,,,,,,0,0,1.0,Take sum of squares of digits of previous term; start with 5.
A000223,30,,,,,,0,0,1.0,"Let A(n) = #{(i,j,k): i^2 + j^2 + k^2 <= n}, V(n) = (4/3)Pi*n^(3/2), P(n) = A(n) - V(n); A000092 gives values of n where |P(n)| sets a new record; sequence gives nearest integer to P(A000092(n))."
A000224,30,,,,,,0,0,1.0,Number of squares mod n.
A000225,30,7.0,2.0,0.0,7.0,24.0,1,0,0.025559105431309903,"a(n) = 2^n - 1. (Sometimes called Mersenne numbers, although that name is usually reserved for A001348.)"
A000226,30,,,,,,0,0,1.0,Number of n-node unlabeled connected graphs with one cycle of length 3.
A000227,30,,,,,,0,0,1.0,Nearest integer to e^n.
A000228,30,,,,,,0,0,1.0,"Number of hexagonal polyominoes (or hexagonal polyforms, or planar polyhexes) with n cells."
A000229,30,,,,,,0,0,1.0,a(n) is the least number m such that the n-th prime is the least quadratic nonresidue modulo m.
A000230,30,,,,,,0,0,1.0,"a(0)=2; for n>=1, a(n) = smallest prime p such that there is a gap of exactly 2n between p and next prime, or -1 if no such prime exists."
A000232,30,,,,,,0,0,1.0,Construct a triangle as in A036262. Sequence is one less than the position of the first number larger than 2 in the n-th row (n-th difference).
A000233,30,,,,,,0,0,1.0,"Generalized class numbers c_(n,1)."
A000234,30,,,,,,0,0,1.0,Partitions into non-integral powers (see Comments for precise definition).
A000235,30,,,,,,0,0,1.0,Number of n-node rooted trees of height 3.
A000247,30,9.0,3.0,0.0,9.0,42.0,1,0,0.04212637913741224,a(n) = 2^n - n - 2.
A000249,30,6.0,,,,,1,1,1.0,Nearest integer to modified Bessel function K_n(5).
A000251,30,,,,,,0,0,1.0,Number of trees of diameter 6.
A000252,30,,,,,,0,0,1.0,Number of invertible 2 X 2 matrices mod n.
A000253,30,11.0,4.0,0.0,11.0,52.0,1,0,0.0525783619817998,a(n) = 2*a(n-1) - a(n-2) + a(n-3) + 2^(n-1).
A000263,30,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000265,30,,,,,,0,0,1.0,Remove all factors of 2 from n; or largest odd divisor of n; or odd part of n.
A000267,30,,,,,,0,0,1.0,Integer part of square root of 4n+1.
A000277,30,,,,,,0,0,1.0,3*n - 2*floor(sqrt(4*n+5)) + 5.
A000285,30,7.0,2.0,0.0,7.0,26.0,1,0,0.036671368124118475,"a(0) = 1, a(1) = 4, and a(n) = a(n-1) + a(n-2) for n >= 2."
A000286,30,,,,,,0,0,1.0,Number of positive integers <= 2^n of form 2 x^2 + 5 y^2.
A000288,30,11.0,4.0,0.0,11.0,42.0,1,0,0.05504587155963303,Tetranacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) + a(n-4) with a(0) = a(1) = a(2) = a(3) = 1.
A000290,30,9.0,3.0,0.0,9.0,38.0,1,0,0.08278867102396514,The squares: a(n) = n^2.
A000291,30,,,,,,0,0,1.0,Number of bipartite partitions of n white objects and 2 black ones.
A000292,30,10.0,2.0,1.0,10.0,38.0,1,0,0.07076350093109869,"Tetrahedral (or triangular pyramidal) numbers: a(n) = C(n+2,3) = n*(n+1)*(n+2)/6."
A000293,30,,,,,,0,0,1.0,"a(n) = number of solid (i.e., three-dimensional) partitions of n."
A000294,30,,,,,,0,0,1.0,Expansion of g.f. Product_{k >= 1} (1 - x^k)^(-k*(k+1)/2).
A000295,30,9.0,3.0,0.0,9.0,34.0,1,0,0.03859250851305335,"Eulerian numbers (Euler's triangle: column k=2 of A008292, column k=1 of A173018)."
A000297,30,10.0,2.0,1.0,10.0,42.0,1,0,0.07329842931937172,a(n) = (n+1)*(n+3)*(n+8)/6.
A000298,30,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000299,30,,,,,,0,0,1.0,Number of n-node rooted trees of height 4.
A000306,30,,,,,,0,0,1.0,Number of trees of diameter 8.
A000319,30,,,,,,0,0,1.0,"a(n) = floor(b(n)), where b(n) = tan(b(n-1)), b(0)=1."
A000322,30,13.0,5.0,0.0,13.0,50.0,1,0,0.06747638326585695,Pentanacci numbers: a(n) = a(n-1) + a(n-2) + a(n-3) + a(n-4) + a(n-5) with a(0) = a(1) = a(2) = a(3) = a(4) = 1.
A000323,30,,,,,,0,0,1.0,"Let A(n) = #{(i,j): i^2 + j^2 <= n}, V(n) = Pi*n, P(n) = A(n) - V(n); A000099 gives values of n where |P(n)| sets a new record; sequence gives A(A000099(n))."
A000325,30,9.0,3.0,0.0,9.0,38.0,1,0,0.04293785310734463,a(n) = 2^n - n.
A000326,30,9.0,3.0,0.0,9.0,38.0,1,0,0.07835051546391752,Pentagonal numbers: a(n) = n*(3*n-1)/2.
A000327,30,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000328,30,,,,,,0,0,1.0,Number of points of norm <= n^2 in square lattice.
A000329,30,,,,,,0,0,1.0,"Nearest integer to b(n), where b(n) = tan(b(n-1)), b(0) = 1."
A000330,30,10.0,2.0,1.0,10.0,36.0,1,0,0.06196213425129088,Square pyramidal numbers: a(n) = 0^2 + 1^2 + 2^2 + ... + n^2 = n*(n+1)*(2*n+1)/6.
A000332,30,13.0,5.0,0.0,13.0,54.0,1,0,0.09557522123893805,"Binomial coefficient binomial(n,4) = n*(n-1)*(n-2)*(n-3)/24."
A000333,30,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000334,30,,,,,,0,0,1.0,Number of 4-dimensional partitions of n.
A000335,30,,,,,,0,0,1.0,Euler transform of A000292.
A000337,30,9.0,3.0,0.0,9.0,42.0,1,0,0.037803780378037805,a(n) = (n-1)*2^n + 1.
A000338,30,10.0,2.0,1.0,10.0,62.0,1,0,0.10316139767054909,Expansion of x^3*(5-2*x)*(1-x^3)/(1-x)^4.
A000339,30,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000342,30,,,,,,0,0,1.0,Number of n-node rooted trees of height 5.
A000345,30,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000347,30,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000348,30,,,,,,0,0,1.0,"Number of ways to pair up {1^2, 2^2, ..., (2n)^2 } so sum of each pair is prime."
A000350,30,,,,,,0,0,1.0,Numbers m such that Fibonacci(m) ends with m.
A000353,30,,,,,,0,0,1.0,"Primes p == 7, 19, 23 (mod 40) such that (p-1)/2 is also prime."
A000355,30,,,,,,0,0,1.0,"Primes p == 3, 9, 11 (mod 20) such that 2p+1 is also prime."
A000358,30,,,,,,0,0,1.0,"Number of binary necklaces of length n with no subsequence 00, excluding the necklace ""0""."
A000360,30,,,,,,0,0,1.0,Distribution of nonempty triangles inside a fractal rep-4-tile.
A000361,30,,,,,,0,0,1.0,"From a fractal set of positive Lebesgue measure, a self-replicating tiling with holes, the 4-reptile following the 2-reptile of Paul Levy."
A000362,30,,,,,,0,0,1.0,"Generalized class numbers c_(n,2)."
A000369,30,,,,,,0,0,1.0,"Triangle of numbers related to triangle A049213; generalization of Stirling numbers of second kind A008277, Bessel triangle A001497."
A000374,30,,,,,,0,0,1.0,Number of cycles (mod n) under doubling map.
A000377,30,,,,,,0,0,1.0,"Expansion of f(-q^3) * f(-q^8) * chi(-q^12) / chi(-q) in powers of q where chi(), f() are Ramanujan theta functions."
A000378,30,7.0,,,,,2,1,1.0,Sums of three squares: numbers of the form x^2 + y^2 + z^2.
A000379,30,,,,,,0,0,1.0,Numbers where total number of 1-bits in the exponents of their prime factorization is even; a 2-way classification of integers: complement of A000028.
A000382,30,13.0,5.0,0.0,13.0,74.0,1,0,0.0774869109947644,Restricted permutations.
A000383,30,6.0,6.0,0.0,15.0,58.0,2,2,0.07956104252400549,Hexanacci numbers with a(0) = ... = a(5) = 1.
A000384,30,9.0,3.0,0.0,9.0,38.0,1,0,0.07495069033530571,Hexagonal numbers: a(n) = n*(2*n-1).
A000385,30,,,,,,0,0,1.0,Convolution of A000203 with itself.
A000389,30,15.0,6.0,0.0,15.0,70.0,1,0,0.11382113821138211,"Binomial coefficients C(n,5)."
A000393,30,6.0,,,,,1,1,1.0,Number of n-node rooted trees of height 6.
A000394,30,,,,,,0,0,1.0,Numbers of form x^2 + y^2 + 7z^2.
A000397,30,,,,,,0,0,1.0,Number of partitions into non-integral powers.
A000398,30,7.0,,,,,2,1,1.0,Numbers of form x^2 + 2y^2 + 2yz + 4z^2.
A000401,30,7.0,,,,,2,1,1.0,Numbers of form x^2 + y^2 + 2*z^2.
A000404,30,,,,,,0,0,1.0,Numbers that are the sum of 2 nonzero squares.
A000408,30,,,,,,0,0,1.0,Numbers that are the sum of three nonzero squares.
A000412,30,,,,,,0,0,1.0,Number of bipartite partitions of n white objects and 3 black ones.
A000413,30,,,,,,0,0,1.0,"Let A(n) = #{(i,j,k): i^2 + j^2 + k^2 <= n}, V(n) = (4/3)*Pi*n^(3/2), P(n) = A(n) - V(n); A000092 gives values of n where |P(n)| sets a new record; sequence gives A(A000092(n))."
A000414,30,,,,,,0,0,1.0,Numbers that are the sum of 4 nonzero squares.
A000415,30,,,,,,0,0,1.0,Numbers that are the sum of 2 but no fewer nonzero squares.
A000418,30,6.0,,,,,1,1,1.0,Number of n-node rooted trees of height 7.
A000419,30,,,,,,0,0,1.0,Numbers that are the sum of 3 but no fewer nonzero squares.
A000423,30,,,,,,0,0,1.0,"a(n) is smallest number > a(n-1) of form a(i)*a(j), i < j < n."
A000429,30,6.0,,,,,1,1,1.0,Number of n-node rooted trees of height 8.
A000430,30,,,,,,0,0,1.0,Primes and squares of primes.
A000432,30,,,,,,0,0,1.0,Series-parallel numbers.
A000433,30,7.0,,,,,2,1,1.0,n written in base where place values are positive cubes.
A000437,30,,,,,,0,0,1.0,Smallest nonnegative number that is the sum of 3 squares in exactly n ways.
A000439,30,13.0,3.0,1.0,13.0,94.0,1,0,0.12583668005354753,Powers of rooted tree enumerator.
A000441,30,,,,,,0,0,1.0,a(n) = Sum_{k=1..n-1} k*sigma(k)*sigma(n-k).
A000443,30,,,,,,0,0,1.0,Numbers that are the sum of 2 squares in exactly 3 ways.
A000447,30,10.0,2.0,1.0,10.0,40.0,1,0,0.05873715124816446,a(n) = 1^2 + 3^2 + 5^2 + 7^2 + ... + (2*n-1)^2 = n*(4*n^2 - 1)/3.
A000448,30,,,,,,0,0,1.0,Smallest number that is the sum of 2 squares in at least n ways.
A000451,30,,,,,,0,0,1.0,Smallest number that is the sum of 3 squares in at least n ways.
A000452,30,,,,,,0,0,1.0,The greedy sequence of integers which avoids 3-term geometric progressions.
A000455,30,,,,,,0,0,1.0,Digits of powers of 2.
A000462,30,,,,,,0,0,1.0,Numbers written in base of triangular numbers.
A000463,30,15.0,6.0,0.0,15.0,64.0,1,0,0.21548821548821548,n followed by n^2.
A000465,30,,,,,,0,0,1.0,Number of bipartite partitions of n white objects and 4 black ones.
A000466,30,7.0,1.0,1.0,7.0,28.0,1,0,0.04869565217391304,a(n) = 4*n^2 - 1.
A000469,30,,,,,,0,0,1.0,1 together with products of 2 or more distinct primes.
A000471,30,,,,,,0,0,1.0,a(n) = floor(sinh(n)).
